Education_Level,Weighted_Ave
AdvDip_and_Dip,1588.615
BachDeg,1606.309
Cert_III_IV,1531.627
Cert_I_II,1266.76
GradDip_and_GradCert,1672.269
PGrad_Deg,1739.021
